regulator_oln_id	target_oln_id	gene_expression_evidence	binding_evidence	combinatorial_evidence	regulation_direction	pubmed_id
YMR021C	YNL017C	0	2	0		12399584,22720667
YNL068C	YNL172W	0	2	0		12399584,16522208
YNL103W	YJL100W	0	2	0		12399584,22438580
YNL216W	YDL076C	0	3	0		12399584,22498630,22720667
YNL216W	YJL189W	0	2	0		12399584,22720667
YOR028C	YOR302W	0	2	0		12399584,22720667
YPL038W	YPR167C	0	2	0		12399584,16522208
YPL089C	YBR057C	0	2	0		12399584,22720667
YPL248C	YDR009W	0	2	0		12399584,16522208
YPL248C	YGR268C	1	1	0	activates	20385592,22720667
YBL103C	YLR266C	1	1	0	inactivates	16522208,20385592
YBL103C	YLR304C	3	1	0	activates	17417638,20385592,22720667,24766815
YBL103C	YNL037C	3	1	0	activates	16522208,17417638,20385592,24766815
YBL103C	YNL248C	1	1	0	activates	20385592,22720667
YBL103C	YOR136W	1	1	0	activates	16522208,24766815
YBL103C	YPL124W	0	2	0		12399584,22720667
YBR049C	YAL003W	1	1	0	activates	20385592,21329885
YBR049C	YAL018C	0	2	0		21329885,22720667
YBR049C	YAL025C	1	2	0	inactivates	20385592,21329885,22720667
YBR049C	YAL029C	0	2	0		21329885,22720667
YBR049C	YAL030W	0	3	0		12399584,16522208,21329885
YBR049C	YAL031C	0	3	0		12399584,16522208,21329885
YBR049C	YOR197W	0	2	0		21329885,22720667
YBR112C	YBR085C-A	1	1	0	inactivates	21329885,24766815
YBR112C	YBR105C	1	1	0	inactivates	21329885,24766815
YBR112C	YDL079C	1	1	0	inactivates	21329885,24766815
YBR112C	YDL085W	1	1	0	inactivates	21329885,24766815
YBR112C	YDR043C	1	1	0	inactivates	21329885,24766815
YBR112C	YDR085C	1	1	0	inactivates	21329885,24766815
YBR112C	YDR516C	1	1	0	inactivates	21329885,24766815
YBR112C	YEL011W	1	1	0	inactivates	21329885,24766815
YBR112C	YER062C	1	1	0	inactivates	21329885,24766815
YBR049C	YOR319W	0	3	0		12399584,21329885,22720667
YBL008W	YDR225W	1	2	0	inactivates	12399584,20385592,22720667
YBL008W	YDR523C	0	2	0		12399584,22720667
YBL008W	YEL001C	0	2	0		12399584,22720667
YBL008W	YEL022W	0	2	0		12399584,22720667
YBL008W	YEL023C	0	2	0		12399584,22720667
YBL008W	YFR001W	0	2	0		12399584,22720667
YBL008W	YLR002C	0	2	0		12399584,22720667
YBL008W	YLR061W	0	2	0		12399584,22720667
YBL008W	YNL030W	0	2	0		12399584,22720667
YBL008W	YNL031C	0	2	0		12399584,22720667
YBL008W	YOL144W	0	2	0		12399584,22720667
YBL008W	YOL145C	0	2	0		12399584,22720667
YBL008W	YPL018W	0	2	0		12399584,22720667
YBL008W	YPL019C	0	2	0		12399584,22720667
YBL008W	YPL249C-A	0	2	0		12399584,22720667
YBL008W	YPL251W	0	2	0		12399584,22720667
YBL008W	YPL253C	0	2	0		12399584,22720667
YBL021C	YBR039W	0	2	0		12399584,22720667
YBL021C	YCR028C	0	2	0		12399584,22720667
YBL021C	YDR030C	0	2	0		12399584,22720667
YBL021C	YDR031W	0	2	0		12399584,22720667
YBL021C	YDR372C	0	2	0		12399584,22720667
YBL021C	YDR373W	0	2	0		12399584,22720667
YBL021C	YER174C	0	2	0		12399584,22720667
YBR049C	YBR003W	0	2	0		21329885,22720667
YBR049C	YBR017C	0	2	0		21329885,22720667
YBR049C	YBR034C	0	2	0		21329885,22720667
YBR049C	YBR036C	1	1	0	activates	20385592,22720667
YBR049C	YBR065C	0	2	0		21329885,22720667
YBR049C	YBR077C	0	2	0		21329885,22720667
YBR049C	YBR082C	2	1	0	activates	17417638,20385592,21329885
YBR049C	YBR091C	0	2	0		21329885,22720667
YBR049C	YBR092C	2	1	0	activates	17417638,20385592,21329885
YBR049C	YBR095C	0	2	0		16522208,21329885
YBR049C	YBR096W	0	2	0		16522208,21329885
YBR049C	YBR130C	0	2	0		16522208,21329885
YBR049C	YBR131W	0	2	0		16522208,21329885
YBR049C	YBR143C	0	2	0		21329885,22720667
YBR049C	YBR163W	0	2	0		21329885,22720667
YBR049C	YBR164C	0	2	0		16522208,21329885
YBR049C	YBR165W	0	2	0		16522208,21329885
YBR049C	YBR170C	0	2	0		16522208,21329885
YBR049C	YBR171W	0	2	0		16522208,21329885
YBR049C	YBR229C	0	2	0		21329885,22720667
YBR049C	YBR234C	0	2	0		21329885,22720667
YBR049C	YBR236C	0	2	0		12399584,16522208
YBR049C	YBR237W	0	2	0		12399584,16522208
YBR049C	YBR253W	0	2	0		21329885,22720667
YBR049C	YCL054W	1	2	0	inactivates	20385592,21329885,22720667
YBR049C	YCR004C	1	1	0	inactivates	17417638,22720667
YBR049C	YCR011C	0	2	0		21329885,22720667
YBR049C	YCR012W	0	2	0		21329885,22720667
YBR049C	YCR032W	0	2	0		12399584,16522208
YBR049C	YCR068W	0	2	0		16522208,21329885
YBR049C	YCR095C	0	2	0		21329885,22720667
YBR049C	YDL005C	0	2	0		21329885,22720667
YBR049C	YDL007W	1	1	0	activates	20385592,22720667
YBR049C	YDL025C	0	2	0		21329885,22720667
YBR049C	YDL031W	0	2	0		21329885,22720667
YBR049C	YDL047W	0	2	0		21329885,22720667
YBR049C	YDL070W	1	1	0	activates	20385592,21329885
YBR049C	YDL097C	1	1	0	activates	20385592,21329885
YBR049C	YDL112W	0	2	0		21329885,22720667
YBR049C	YDL125C	1	1	0	activates	20385592,21329885
YBR049C	YDL155W	0	2	0		16522208,21329885
YBR049C	YDL186W	0	2	0		12399584,16522208
YBR049C	YDL188C	0	2	0		12399584,16522208
YBR049C	YDL208W	0	2	0		21329885,22720667
YBR049C	YDL209C	0	2	0		21329885,22720667
YBR049C	YDL212W	0	2	0		12399584,16522208
YBR049C	YDL213C	0	2	0		12399584,16522208
YBR049C	YDL225W	0	3	0		12399584,16522208,21329885
YBR049C	YDL226C	0	2	0		12399584,16522208
YBR049C	YDR003W	0	2	0		16522208,21329885
YBR049C	YDR032C	0	2	0		21329885,22720667
YBR049C	YDR036C	0	2	0		16522208,21329885
YBR049C	YDR050C	0	2	0		21329885,22720667
YBR049C	YDR060W	0	2	0		21329885,22720667
YBR049C	YDR073W	0	2	0		21329885,22720667
YBR049C	YDR091C	1	1	0	activates	20385592,22720667
YBR049C	YDR143C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YDR147W	0	2	0		21329885,22720667
YBR049C	YDR151C	0	2	0		21329885,22720667
YBR049C	YDR152W	0	2	0		21329885,22720667
YBR049C	YDR155C	0	2	0		12399584,16522208
YBR049C	YDR156W	0	2	0		12399584,16522208
YBR049C	YDR157W	0	2	0		12399584,22720667
YBR049C	YDR158W	2	1	0	activates	12399584,17417638,20385592
YBR049C	YDR170W-A	2	1	0	inactivates	17417638,20385592,22720667
YBR049C	YDR173C	0	2	0		21329885,22720667
YBR049C	YDR174W	0	2	0		21329885,22720667
YBR049C	YDR214W	2	1	0	activates	17417638,20385592,22720667
YBR049C	YDR221W	0	2	0		21329885,22720667
YBR049C	YDR231C	0	2	0		21329885,22720667
YBR049C	YDR238C	0	2	0		21329885,22720667
YBR049C	YDR257C	0	2	0		12399584,16522208
YBR049C	YDR264C	0	2	0		21329885,22720667
YBR049C	YDR265W	0	2	0		21329885,22720667
YBR049C	YDR303C	0	2	0		21329885,22720667
YBR049C	YDR306C	0	2	0		21329885,22720667
YBR049C	YDR313C	0	2	0		12399584,16522208
YBR049C	YDR323C	0	3	0		12399584,21329885,22720667
YBR049C	YDR328C	0	2	0		16522208,21329885
YBR049C	YDR333C	0	2	0		21329885,22720667
YBR049C	YDR334W	0	2	0		21329885,22720667
YBR049C	YDR411C	1	1	0	activates	20385592,21329885
YBR049C	YDR427W	1	1	0	activates	20385592,22720667
YBR049C	YDR451C	0	2	0		21329885,22720667
YBR049C	YDR452W	0	2	0		21329885,22720667
YBR049C	YDR453C	1	1	0	inactivates	20385592,22720667
YBR049C	YDR457W	0	2	0		16522208,21329885
YBR049C	YDR465C	0	2	0		12399584,16522208
YBR049C	YDR466W	0	2	0		12399584,16522208
YBR049C	YDR477W	0	2	0		21329885,22720667
YBR049C	YDR480W	0	2	0		21329885,22720667
YBR049C	YDR519W	0	2	0		21329885,22720667
YBR049C	YDR520C	0	2	0		21329885,22720667
YBR049C	YDR525W-A	1	1	0	activates	20385592,21329885
YBR049C	YEL012W	0	2	0		12399584,22720667
YBR049C	YEL026W	1	2	0	activates	20385592,21329885,22720667
YBR049C	YEL038W	0	2	0		21329885,22720667
YBR049C	YEL051W	0	2	0		21329885,22720667
YBR049C	YEL055C	0	2	0		21329885,22720667
YBR049C	YEL064C	1	1	0	activates	20385592,22720667
YBR049C	YER013W	0	2	0		12399584,16522208
YBR049C	YER019C-A	0	2	0		21329885,22720667
YBR049C	YER020W	0	2	0		21329885,22720667
YBR049C	YER021W	0	2	0		21329885,22720667
YBR049C	YER025W	1	1	0	activates	16522208,20385592
YBR049C	YER050C	0	2	0		21329885,22720667
YBR049C	YER051W	0	2	0		21329885,22720667
YBR049C	YER063W	0	2	0		21329885,22720667
YBR049C	YER070W	0	2	0		21329885,22720667
YBR049C	YER083C	1	1	0	activates	20385592,21329885
YBR049C	YER085C	0	2	0		21329885,22720667
YBR049C	YER091C	1	1	0	activates	20385592,22720667
YBR049C	YER094C	0	2	0		21329885,22720667
YBR049C	YER095W	0	2	0		21329885,22720667
YBR049C	YER105C	0	2	0		16522208,21329885
YBR049C	YER111C	1	1	0	inactivates	20385592,22720667
YBR049C	YER136W	0	2	0		21329885,22720667
YBR049C	YER146W	0	2	0		21329885,22720667
YBR049C	YER150W	2	1	0	inactivates	17417638,20385592,21329885
YBR049C	YER156C	0	2	0		12399584,16522208
YBR049C	YER157W	0	2	0		12399584,16522208
YBR049C	YER163C	1	1	0	activates	20385592,21329885
YBR049C	YER176W	0	2	0		21329885,22720667
YBR049C	YFL005W	0	2	0		12399584,16522208
YBR049C	YFL013C	1	1	0	inactivates	20385592,21329885
YBR049C	YFL016C	0	2	0		21329885,22720667
YBR049C	YFL022C	1	1	0	activates	20385592,22720667
YBR049C	YFL023W	1	2	0	inactivates	12399584,16522208,20385592
YBR049C	YFL024C	0	2	0		12399584,16522208
YBR049C	YFL026W	1	1	0	activates	17417638,21329885
YBR049C	YFL039C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YFR051C	1	1	0	activates	20385592,22720667
YBR049C	YFR052W	1	1	0	activates	17417638,22720667
YBR049C	YGL043W	0	2	0		21329885,22720667
YBR049C	YGL044C	0	2	0		21329885,22720667
YBR049C	YGL068W	0	2	0		16522208,21329885
YBR049C	YGL086W	0	2	0		21329885,22720667
YBR049C	YGL087C	0	2	0		21329885,22720667
YBR049C	YGL088W	0	2	0		12399584,22720667
YBR049C	YGL089C	0	2	0		12399584,22720667
YBR049C	YGL097W	0	2	0		21329885,22720667
YBR049C	YGL106W	1	1	0	activates	20385592,21329885
YBR049C	YGL119W	0	2	0		12399584,16522208
YBR049C	YGL120C	0	2	0		12399584,16522208
YBR049C	YGL137W	0	2	0		21329885,22720667
YBR049C	YGL138C	0	2	0		21329885,22720667
YBR049C	YGL140C	0	2	0		21329885,22720667
YBR049C	YGL151W	0	3	0		12399584,16522208,21329885
YBR049C	YGL152C	0	2	0		12399584,22720667
YBR049C	YGL166W	0	2	0		21329885,22720667
YBR049C	YGL181W	0	2	0		12399584,16522208
YBR049C	YGL182C	0	2	0		12399584,22720667
YBR049C	YGL198W	1	1	0	activates	16522208,20385592
YBR049C	YGL225W	2	1	0	activates	17417638,20385592,21329885
YBR049C	YGL237C	0	2	0		16522208,21329885
YBR049C	YGL238W	0	2	0		21329885,22720667
YBR049C	YGR002C	0	2	0		21329885,22720667
YBR049C	YGR003W	0	2	0		21329885,22720667
YBR049C	YGR009C	0	2	0		21329885,22720667
YBR049C	YGR024C	0	2	0		21329885,22720667
YBR049C	YGR026W	0	2	0		21329885,22720667
YBR049C	YGR037C	0	2	0		21329885,22720667
YBR049C	YGR043C	0	2	0		21329885,22720667
YBR049C	YGR045C	0	2	0		21329885,22720667
YBR049C	YGR046W	0	2	0		21329885,22720667
YBR049C	YGR084C	0	2	0		21329885,22720667
YBR049C	YGR130C	0	2	0		21329885,22720667
YBR049C	YGR132C	0	2	0		16522208,21329885
YBR049C	YGR135W	0	2	0		21329885,22720667
YBR049C	YGR145W	1	1	0	inactivates	20385592,22720667
YBR049C	YGR147C	0	2	0		12399584,16522208
YBR049C	YGR156W	0	2	0		21329885,22720667
YBR049C	YGR172C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YGR173W	0	2	0		21329885,22720667
YBR049C	YGR184C	0	2	0		12399584,22720667
YBR049C	YGR195W	1	1	0	activates	20385592,22720667
YBR049C	YGR199W	0	2	0		21329885,22720667
YBR049C	YGR203W	0	2	0		21329885,22720667
YBR049C	YGR218W	0	2	0		16522208,21329885
YBR049C	YGR220C	0	2	0		21329885,22720667
YBR049C	YGR231C	0	3	0		12399584,16522208,21329885
YBR049C	YGR232W	0	2	0		12399584,16522208
YBR049C	YGR241C	0	3	0		12399584,16522208,21329885
YBR049C	YGR243W	1	3	0	activates	12399584,16522208,20385592,21329885
YBR049C	YGR266W	0	2	0		21329885,22720667
YBR049C	YGR284C	0	2	0		21329885,22720667
YBR049C	YGR285C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YGR288W	0	2	0		21329885,22720667
YBR049C	YHL031C	1	2	0	activates	16522208,20385592,21329885
YBR049C	YHR006W	0	2	0		21329885,22720667
YBR049C	YHR015W	1	1	0	activates	20385592,22720667
YBR049C	YHR023W	0	2	0		21329885,22720667
YBR049C	YHR026W	1	2	0	activates	12399584,16522208,20385592
YBR049C	YHR039C-A	0	3	0		12399584,21329885,22720667
YBR049C	YHR040W	0	3	0		12399584,21329885,22720667
YBR049C	YHR075C	0	2	0		21329885,22720667
YBR049C	YHR097C	1	1	0	activates	20385592,21329885
YBR049C	YHR136C	1	1	0	activates	17417638,21329885
YBR049C	YHR146W	0	2	0		16522208,21329885
YBR049C	YHR153C	0	2	0		21329885,22720667
YBR049C	YHR154W	0	2	0		21329885,22720667
YBR049C	YIL022W	0	2	0		12399584,16522208
YBR049C	YIL023C	0	2	0		12399584,16522208
YBR049C	YIL062C	0	2	0		21329885,22720667
YBR049C	YIL075C	0	2	0		12399584,16522208
YBR049C	YIL105C	0	2	0		21329885,22720667
YBR049C	YIL106W	0	2	0		21329885,22720667
YBR049C	YIL108W	0	2	0		12399584,16522208
YBR049C	YIL109C	0	2	0		12399584,16522208
YBR049C	YIL112W	0	3	0		12399584,16522208,21329885
YBR049C	YIL116W	1	2	0	activates	20385592,21329885,22720667
YBR049C	YIL121W	1	1	0	activates	20385592,22720667
YBR049C	YIL122W	0	2	0		21329885,22720667
YBR049C	YIL148W	0	2	0		12399584,22720667
YBR049C	YIL149C	0	2	0		12399584,22720667
YBR049C	YIL159W	0	2	0		21329885,22720667
YBR049C	YIL160C	0	2	0		21329885,22720667
YBR049C	YIR002C	0	2	0		12399584,22720667
YBR049C	YIR003W	0	2	0		12399584,22720667
YBR049C	YIR014W	0	2	0		21329885,22720667
YBR049C	YJL001W	1	2	0	activates	12399584,16522208,20385592
YBR049C	YJL002C	0	2	0		12399584,16522208
YBR049C	YJL019W	0	2	0		21329885,22720667
YBR049C	YJL020C	0	2	0		21329885,22720667
YBR049C	YJL039C	1	1	0	activates	20385592,22720667
YBR049C	YJL051W	0	2	0		21329885,22720667
YBR049C	YJL076W	0	2	0		21329885,22720667
YBR049C	YJL077C	0	2	0		21329885,22720667
YBR049C	YJL092W	0	2	0		21329885,22720667
YBR049C	YJL093C	0	2	0		21329885,22720667
YBR049C	YJL098W	0	2	0		21329885,22720667
YBR049C	YJL111W	0	2	0		21329885,22720667
YBR049C	YJL124C	0	2	0		21329885,22720667
YBR049C	YJL148W	0	2	0		12399584,22720667
YBR049C	YJL149W	0	2	0		21329885,22720667
YBR049C	YJL151C	0	2	0		21329885,22720667
YBR049C	YJL158C	1	2	0	activates	12399584,20385592,22720667
YBR049C	YJL184W	1	1	0	activates	20385592,22720667
YBR049C	YJR005W	0	2	0		21329885,22720667
YBR049C	YJR007W	0	2	0		16522208,21329885
YBR049C	YJR047C	2	1	0	activates	17417638,20385592,22720667
YBR049C	YJR065C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YJR066W	0	2	0		21329885,22720667
YBR049C	YJR076C	0	2	0		21329885,22720667
YBR049C	YJR086W	0	2	0		16522208,21329885
YBR049C	YJR090C	0	2	0		12399584,16522208
YBR049C	YJR098C	0	2	0		12399584,16522208
YBR049C	YJR099W	0	2	0		12399584,16522208
YBR049C	YJR100C	0	2	0		12399584,22720667
YBR049C	YJR122W	0	2	0		16522208,21329885
YBR049C	YJR127C	0	2	0		21329885,22720667
YBR049C	YKL007W	0	2	0		21329885,22720667
YBR049C	YKL025C	0	2	0		21329885,22720667
YBR049C	YKL046C	0	2	0		21329885,22720667
YBR049C	YKL051W	1	1	0	activates	16522208,20385592
YBR049C	YKL053C-A	0	2	0		21329885,22720667
YBR049C	YKL058W	0	2	0		12399584,16522208
YBR049C	YKL059C	0	2	0		12399584,16522208
YBR049C	YKL063C	0	2	0		21329885,22720667
YBR049C	YKL072W	0	2	0		16522208,21329885
YBR049C	YKL080W	0	2	0		21329885,22720667
YBR049C	YKL081W	1	2	0	activates	12399584,20385592,22720667
YBR049C	YKL082C	0	2	0		12399584,22720667
YBR049C	YKL086W	1	1	0	activates	20385592,22720667
YBR049C	YKL103C	1	1	0	inactivates	20385592,21329885
YBR049C	YKL104C	0	2	0		12399584,16522208
YBR049C	YKL146W	0	2	0		12399584,22720667
YBR049C	YKL148C	0	2	0		12399584,22720667
YBR049C	YKL190W	0	2	0		21329885,22720667
YBR049C	YKL203C	0	2	0		21329885,22720667
YBR049C	YKR001C	0	2	0		21329885,22720667
YBR049C	YKR002W	0	2	0		21329885,22720667
YBR049C	YKR006C	0	2	0		21329885,22720667
YBR049C	YKR011C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YKR022C	0	2	0		21329885,22720667
YBR049C	YKR023W	0	2	0		21329885,22720667
YBR049C	YKR035W-A	0	2	0		21329885,22720667
YBR049C	YKR048C	1	2	0	activates	20385592,21329885,22720667
YBR049C	YKR068C	0	2	0		12399584,16522208
YBR049C	YKR069W	0	3	0		12399584,16522208,21329885
YBR049C	YKR095W	0	2	0		21329885,22720667
YBR049C	YKR096W	1	2	0	inactivates	20385592,21329885,22720667
YBR049C	YLL003W	0	2	0		21329885,22720667
YBR049C	YLL009C	1	2	0	inactivates	20385592,21329885,22720667
YBR049C	YLL013C	0	2	0		21329885,22720667
YBR049C	YLL021W	0	2	0		21329885,22720667
YBR049C	YLL034C	2	1	0	inactivates	12399584,17417638,20385592
YBR049C	YLL039C	0	2	0		21329885,22720667
YBR049C	YLL040C	0	2	0		12399584,16522208
YBR049C	YLR033W	0	2	0		21329885,22720667
YBR049C	YLR082C	0	2	0		21329885,22720667
YBR049C	YLR083C	0	2	0		21329885,22720667
YBR049C	YLR114C	0	2	0		21329885,22720667
YBR049C	YLR129W	0	2	0		21329885,22720667
YBR049C	YLR162W	2	1	0	inactivates	17417638,20385592,22720667
YBR049C	YLR168C	0	2	0		21329885,22720667
YBR049C	YLR171W	1	1	0	inactivates	20385592,22720667
YBR049C	YLR197W	0	2	0		21329885,22720667
YBR049C	YLR206W	0	2	0		21329885,22720667
YBR049C	YLR212C	0	2	0		21329885,22720667
YBR049C	YLR223C	0	2	0		12399584,16522208
YBR049C	YLR224W	0	2	0		12399584,16522208
YBR049C	YLR229C	0	2	0		21329885,22720667
YBR049C	YLR247C	0	2	0		21329885,22720667
YBR049C	YLR259C	1	1	0	activates	17417638,22720667
YBR049C	YLR262C	0	2	0		16522208,21329885
YBR049C	YLR275W	0	2	0		21329885,22720667
YBR049C	YLR277C	0	2	0		21329885,22720667
YBR049C	YLR295C	0	2	0		21329885,22720667
YBR049C	YLR298C	0	2	0		21329885,22720667
YBR049C	YLR304C	1	2	0	inactivates	20385592,21329885,22720667
YBR049C	YLR308W	0	2	0		21329885,22720667
YBR049C	YLR309C	0	2	0		16522208,21329885
YBR049C	YLR352W	0	2	0		21329885,22720667
YBR049C	YLR354C	1	1	0	activates	17417638,21329885
YBR049C	YLR356W	0	2	0		21329885,22720667
YBR049C	YLR357W	1	1	0	inactivates	20385592,21329885
YBR049C	YLR378C	1	2	0	activates	12399584,16522208,20385592
YBR049C	YLR380W	1	2	0	activates	12399584,16522208,20385592
YBR049C	YLR390W-A	0	2	0		16522208,21329885
YBR049C	YLR408C	0	2	0		21329885,22720667
YBR049C	YLR412W	0	2	0		21329885,22720667
YBR049C	YLR426W	0	2	0		21329885,22720667
YBR049C	YLR430W	0	2	0		21329885,22720667
YBR049C	YML001W	0	2	0		12399584,16522208
